servertime,timestamp,1_CO,1_CxHy,1_HCl,1_HCOH,1_NO2,1_SO2,2_CO,2_CxHy,2_HCl,2_HCOH,2_NO2,2_SO2,3_CO,3_CxHy,3_HCl,3_HCOH,3_NO2,3_SO2,4_CO,4_CxHy,4_HCl,4_HCOH,4_NO2,4_SO2,5_CO,5_CxHy,5_HCl,5_HCOH,5_NO2,5_SO2,6_CO,6_CxHy,6_HCl,6_HCOH,6_NO2,6_SO2,7_CO,7_CxHy,7_HCl,7_HCOH,7_NO2,7_SO2,8_Cl2,8_CO,8_CxHy,8_HCOH,8_NO2,8_SO2,9_CO,9_CxHy,9_HCOH,9_HF,9_NO2,9_SO2,11_temp, 11_atmp, 11_windspeed, 11_humi, 11_precipitation, 11_winddirection, 12_temp, 12_atmp, 12_windspeed, 12_humi, 12_precipitation, 12_winddirection
2018-01-10 17:17:40,2018-10-01 23:13:00,2.313,10.125,0.012,0.014,0.027,0.102,4.766,0,0.097,0.001,0.082,0.113,2.039,37.375,0.087,0,0.051,0,0.934,14.344,0.017,0.001,-1,0,1.539,51.875,0.051,0.001,0.179,0.014,2.383,15.563,0.008,0.003,0.063,0.75,1.344,34.75,0.072,0.002,0.045,0.129,0.002,2.453,65,0.002,0.041,0.001,1.332,18.75,0.002,0,0.064,0.486,-2,738,1,40,0,35.000,-1,-1,-1,-1,-1,-1
2018-01-10 17:37:35,2018-10-01 23:33:00,2.297,10.031,0.006,0.011,0.032,0.102,4.484,0.01,0.079,0.001,0.115,0.109,2.164,37.625,0.001,0.001,0.052,0,0.904,13.5,0.018,0.005,-1,0,1.539,51.875,0.032,0.002,0.111,0.014,2.742,21,0.077,0.003,0.06,0.75,1.344,34.625,0.03,0,0.046,0.067,0.002,2.508,66,0.002,0.037,0.001,1.289,17.813,0.001,0,0.072,0.16,-1,738,2,38,0,95.000,-1,-1,-1,-1,-1,-1
2018-01-10 17:57:32,2018-10-01 23:53:00,2.289,10.031,0.009,0.011,0.03,0.1,4.328,0,0.031,0,0.148,0.081,1.984,36.875,0.02,0.001,0.05,0,0.906,13.344,0.018,0.006,-1,0,1.539,51.875,0.079,0,0.205,0.012,2.414,13.969,0.018,0.003,0.063,0.75,1.293,34.625,0.033,0,0.05,0.043,0.001,2.508,64.75,0.001,0.042,0,1.285,18.75,0.001,0,0.065,0.505,-1,738,2,38,0,93.000,-1,-1,-1,-1,-1,-1
2018-01-10 18:17:46,2018-11-01 00:13:00,2.289,10.219,0.009,0.007,0.028,0.101,3.82,0.033,0.076,0.002,0.165,0.111,2.102,37.25,0.069,0.002,0.053,0,0.898,14.031,0.018,0.013,-1,0,1.539,51.875,0.015,0.001,0.202,0.012,2.594,13.438,0.064,0.002,0.064,0.75,1.203,34.625,0,0.002,0.042,0.089,0.001,2.453,64.25,0.002,0.039,0,1.301,18.313,0.001,0.002,0.073,0.496,-1,737,3,37,0,107.000,-1,-1,-1,-1,-1,-1
2018-01-10 18:37:37,2018-11-01 00:33:00,2.305,10.563,0.011,0.006,0.029,0.102,2.25,0.382,0.1,0.003,0.144,0.111,1.953,36.75,0.03,0.001,0.05,0,0.908,14.375,0.022,0.011,-1,0,1.594,51.875,0.08,0.002,0.131,0.011,2.516,11.25,0.026,0.002,0.069,0.75,1.324,34.625,0.027,0.001,0.048,0.148,0.001,2.461,64.25,0.002,0.039,0,1.301,18.313,0.001,0,0.073,0.254,-1,737,2,39,0,51.000,-1,-1,-1,-1,-1,-1
2018-01-10 18:57:36,2018-11-01 00:53:00,2.297,10.875,0.011,0.007,0.028,0.104,2.156,1.645,0.027,0.002,0.137,0.112,1.824,35.875,0.011,0.001,0.054,0,0.918,14.375,0.024,0.007,-1,0,1.461,52,0.022,0.001,0.122,0.008,2.234,5.094,0.057,0.002,0.081,0.75,1.344,34.625,0.091,0.002,0.046,0.06,0.001,2.445,63,0.002,0.043,0,1.242,18.313,0,0.003,0.066,0.434,-1,737,2,39,0,54.000,-1,-1,-1,-1,-1,-1
2018-01-10 19:20:40,2018-11-01 01:13:00,2.289,11.063,0.008,0.015,0.029,0.101,2.156,1.645,0.026,0,0.137,0.112,1.797,35.75,0.005,0.001,0.053,0.001,0.871,14.219,0.021,0.01,-1,0,1.414,52.125,0.004,0.002,0.157,0.005,2.234,5.094,0.023,0.002,0.081,0.75,1.297,34.625,0.02,0.001,0.046,0.119,0.002,2.43,63.375,0.002,0.036,0,1.23,17.875,0.001,0.003,0.071,0.239,-1,737,1,39,0,346.000,-1,-1,-1,-1,-1,-1
2018-01-10 19:53:32,2018-11-01 01:33:00,2.313,11.219,0.006,0.004,0.027,0.102,2.023,1.164,0.005,0.001,0.011,0.094,1.797,35.75,0.066,0.002,0.053,0.001,0.904,15.406,0.024,0.018,-1,0,1.406,52.375,0.041,0.001,0.182,0.006,2.055,2.484,0.08,0.002,0.083,0.75,1.266,34.625,0.063,0.002,0.046,0.012,0.002,2.398,63.625,0,0.043,0,1.238,18.438,0.001,0.004,0.067,0.221,-1,737,1,38,0,67.000,-1,-1,-1,-1,-1,-1
2018-01-10 20:30:39,2018-11-01 02:13:00,2.297,11.469,0.012,0.004,0.024,0.101,1.906,0,0.054,0,0.007,0.024,1.758,35.625,0.04,0.003,0.056,0,0.865,18.25,0.021,0.025,-1,0,1.379,52.375,0.082,0.002,0.197,0.006,2,1.211,0.098,0.002,0.086,0.75,1.25,34.75,0.02,0.002,0.041,0.011,0.001,2.391,64.75,0.003,0.04,0,1.23,18.375,0.003,0,0.065,0.288,-1,737,2,41,0,33.000,-1,-1,-1,-1,-1,-1
2018-01-10 20:58:44,2018-11-01 02:53:00,2.281,11.719,0.01,0.005,0.028,0.1,1.719,0,0.013,0.002,0.077,0.016,1.746,35.5,0.091,0.001,0.059,0,0.869,20.188,0.023,0.036,-1,0,1.367,52.5,0.047,0.002,0.104,0.004,1.953,0.168,0.084,0.002,0.091,0.75,1.297,34.625,0.011,0,0.044,0.078,0.001,2.414,65,0.002,0.042,0,1.223,20.125,0.002,0.002,0.07,0.162,0,737,2,38,0,80.000,-1,-1,-1,-1,-1,-1
2018-01-10 21:18:45,2018-11-01 03:13:00,2.258,11.844,0.007,0.007,0.03,0.103,1.723,0,0.078,0.001,0.111,0.016,1.746,35.5,0.002,0,0.059,0,0.838,20.5,0.024,0.035,-1,0,1.383,52.375,0.095,0.002,0.125,0.004,1.941,0.03,0.021,0.002,0.091,0.75,1.234,34.625,0.067,0.002,0.048,0.14,0.001,2.391,65.75,0.001,0.041,0,1.227,20.375,0,0.001,0.067,0.349,0,737,4,39,0,139.000,-1,-1,-1,-1,-1,-1
2018-01-10 21:38:45,2018-11-01 03:33:00,2.273,11.75,0.009,0.005,0.03,0.1,1.781,1.246,0.064,0.002,0.177,0.018,1.719,35.5,0.074,0.002,0.057,0,0.846,20.875,0.026,0.045,-1,0,1.383,53.25,0.039,0.003,0.178,0.003,1.957,0.017,0.071,0.002,0.088,0.75,1.254,34.625,0.031,0.002,0.046,0.021,0.001,2.367,65.25,0.003,0.045,0,1.195,19.938,0,0.003,0.065,0.371,0,735,5,39,0,137.000,-1,-1,-1,-1,-1,-1
2018-01-10 21:58:43,2018-11-01 03:53:00,2.281,11.719,0.006,0.008,0.029,0.103,1.879,3.633,0.091,0.001,0.21,0.023,1.719,35.5,0.068,0.002,0.053,0,0.848,20.188,0.027,0.053,-1,0,1.391,53.625,0.048,0.002,0.169,0.003,1.957,0.017,0.093,0.002,0.088,0.75,1.25,34.75,0.081,0.002,0.04,0.11,0.001,2.328,65.25,0,0.039,0,1.195,19.938,0.001,0,0.065,0.289,0,735,3,39,0,99.000,-1,-1,-1,-1,-1,-1
2018-01-10 22:18:41,2018-11-01 04:13:00,2.25,11.625,0.011,0.004,0.027,0.1,1.941,1.023,0.035,0.001,0.227,0.038,1.797,35.75,0.062,0.003,0.056,0,0.857,20.938,0.026,0.053,-1,0,1.391,53.625,0.096,0.003,0.129,0.003,1.934,0.052,0,0.002,0.088,0.75,1.301,34.625,0.097,0.001,0.048,0.052,0.001,2.328,65.25,0.002,0.039,0,1.215,20.5,0,0.003,0.073,0.281,0,735,10,39,0,132.000,-1,-1,-1,-1,-1,-1
2018-01-10 22:38:44,2018-11-01 04:33:00,2.25,11.5,0.007,0.005,0.028,0.103,2,1.043,0.034,0.001,0.192,0.126,1.762,35.75,0.01,0.002,0.053,0,0.836,22,0.028,0.053,-1,0,1.402,52.375,0.032,0.001,0.182,0.003,2.016,0.237,0.094,0.002,0.091,0.75,1.32,34.5,0.088,0.001,0.047,0.095,0,2.32,65.25,0.002,0.038,0,1.215,20.5,0,0.001,0.069,0.478,1,735,5,38,0,140.000,-1,-1,-1,-1,-1,-1
2018-01-10 22:58:59,2018-11-01 04:53:00,2.242,11.375,0.008,0.005,0.032,0.099,1.918,0.5,0.044,0.002,0.095,0.054,1.723,35.5,0.085,0,0.055,0,0.871,22.25,0.03,0.047,-1,0,1.398,52.5,0.009,0.002,0.164,0.004,1.949,0.335,0.081,0.002,0.092,0.75,1.293,34.375,0.031,0.001,0.063,0.125,0,2.32,65.25,0.001,0.038,0,1.215,22.063,0.002,0.001,0.069,0.478,0,735,4,39,0,113.000,-1,-1,-1,-1,-1,-1
2018-01-10 23:18:45,2018-11-01 05:13:00,2.227,11.156,0.005,0.008,0.029,0.1,1.875,0,0.061,0.001,0.016,0.055,1.723,35.5,0.059,0.002,0.055,0,0.865,22.438,0.028,0.053,-1,0,1.422,52.5,0.035,0.001,0.123,0.003,1.93,0,0.081,0.002,0.091,0.75,1.344,34.25,0.098,0.002,0.059,0.019,0.001,2.336,64,0.002,0.04,0,1.219,20.5,0.002,0.001,0.067,0.417,0,735,1,39,0,148.000,-1,-1,-1,-1,-1,-1
2018-01-10 23:38:42,2018-11-01 05:33:00,2.242,11,0.012,0.006,0.033,0.099,1.789,0,0.006,0.001,0.006,0.037,1.707,35.5,0.041,0.003,0.054,0,0.861,22.375,0.031,0.053,-1,0,1.418,52.5,0.068,0.001,0.207,0.003,1.941,0,0.087,0.002,0.092,0.75,1.332,34,0.01,0,0.059,0.133,0.001,2.305,63.625,0.001,0.043,0,1.23,20.688,0.001,0.004,0.066,0.435,0,735,2,38,0,117.000,-1,-1,-1,-1,-1,-1
2018-01-10 23:58:37,2018-11-01 05:53:00,2.203,10.844,0.007,0.008,0.023,0.1,1.797,0,0.06,0.002,0.045,0.029,1.707,35.5,0.079,0.001,0.054,0,0.836,21.625,0.029,0.053,-1,0,1.434,52.375,0.079,0.003,0.148,0.002,1.965,0.013,0.038,0.002,0.092,0.75,1.355,33.875,0.03,0.002,0.069,0.018,0.001,2.336,63.125,0.001,0.041,0,1.234,19.438,0.001,0.004,0.071,0.292,0,735,2,38,0,64.000,-1,-1,-1,-1,-1,-1
